sp_id,rp_id,seeker_post,response_post,level,rationales
65m92s,dgbdk7z,Help. Help me. I dunno what I'm doing anymore,"That's pretty vague, do you not know what you're doing in regards to a specific section of your life? Like school or work?",0,
9ezsfi,e5t3oxh,I'm done saying I love you to her because I don't want to hear a lie back to me. I feel so ugly and unwanted and unloved,"idk what a Red pill means exactly but my advice to you is if she treating you right then fuck her there are billions of other girls out there, and if u feel like in love with her and just leave her then try to not care and you have to accept the fact that some girls(as well as some guys) will lie straight to your face for years without any remorse. my advice is stop caring before too late.",0,
6b2cmc,dhj8tcb,Always feel like I'm being criticized and mocked even when alone.... Does anyone else experience this?,"I think it's social anxiety , that creates paranoid feelings , unless I'm wrong but that's how I feel",0,
8iz0as,dyvq1ne,"My diet becomes fucked when i get depressed.. I can't control myself in the grocery store when I'm feeling down. Chips, cookies, soda, cake, you name It. Anyone else a stress eater?","By any chance do you think you're in a loop. Junk food can make you depressed. And being depressed probably makes you eat more junk food? For a while that was my problem too. Even if its just random, ill probably binge and feel bad later. Only to indulge in more later to try to cheer up.",0,
aow3l9,eg40ecq,"I hate not knowing why. I was diagnosed with depression and anxiety when I was 14. That's almost 4 years ago and I still don't know why I am like this. I have more than enough, yet there are moments where I feel like there's no hope nor a bright future waiting for me. I feel alone and abandoned even though I have friends who know that I am depressed and am like this sometimes. I get so frustrated when I can't find out why I just can't be normal. Everything was alright about 2 hours ago, but it just changes so quickly and hard that I almost feel suicidal. I'm a fucking mess...","depression. not sadness which is caused by something and is healthy. Depression is an actual mental disorder which commonly goes untreated. The best things you can do for depression is first of all, not hiding it, tell your loved ones so they can help you. also get a therapist, very helpful and help you cope with depression and get over it. If you think really bad you can see a doctor and see if medication is a good idea. I take antidepressants and my depression is gone, it change you like I originally thought it would, it just makes me the same but not sad all the time.",0,
5aliuq,d9hmspc,"Not arsed with school. Can't study or do homework.. My family is in a bad way right now and I'm in a bad way, mentally. I just can't care about school anymore. Feels hopeless",That's why I'm repeating 11th grade. It sucks.,0,
auo0t4,eh9cb6a,"My parents wont allow me to sick medical assistance because they think my depression is bs. Title. I'm 16, got no money. What to do?","Ask your school counselor what resources they can give you. Just go into the office, ask for the counselor, and see what they've got.",0,
7oi3es,ds9oti2,"I called in sick to work today. For the first time in a couple months I was feeling so Shitty I called into both my jobs today. Just feeling too burnt out, but I slept a lot, read quite a bit and finally managed to shower so the day a complete waste",Is that really so bad? Maybe it was the smart decision because you needed that time to read recover. You're being kind to yourself when you need it and that's important. Hope you feel better soon.,1,Hope you feel better soon|
8r6onw,e0oz7y1,"Lost my job, have no reason to live. My career is over, my personal relationships are barely existent, and the friends I do have live far away.  I have absolutely no reason to live, no job prospects, no way to afford treatment. I will be killing myself soon unless a miracle happens.",Why can't you get a job as a lawyer?,0,
7gipvi,dqje246,"i wanna jump from an elevated place. i wanna kill myself, like really really would like to jump off an elevated place, but not die what do i do? drugs? fall from somewhere not far above the ground(like a 4meters jump)? you know, i'd just like to die but i have a gr8 life other than that (I have different lives in two different countries, just want to kill myself in one)","I don't want you to jump. I don't want you to die, in either one. I don't know exactly what you're going through but from the sounds of it, I'd suggest focusing on the parts in your life that you enjoy",1,I don't want you to jump. I don't want you to die|
